douban_id,title,original_title,year,directors,actors,genres,countries,rating,rating_count,rank,poster_url,summary,main_category,feature_tags
1292052,肖申克的救赎,,1994,弗兰克·德拉邦特,蒂姆·罗宾斯;摩根·弗里曼;鲍勃·冈顿;威廉·赛德勒;克兰西·布朗,剧情;犯罪,美国,9.7,3226148,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.webp,一场谋杀案使银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼 Morgan Freeman 饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难 之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。 本片获得1995年奥斯卡10项提名，以及金球奖、土星奖等多项提名。,suspense_crime,剧情;犯罪;弗兰克·德拉邦特;美国;高分
1291546,霸王别姬,,1993,陈凯歌,张国荣;张丰毅;巩俐;葛优;英达,剧情;爱情;同性,中国大陆;中国香港,9.6,2381335,2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.webp,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。 段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。,romance_drama,剧情;爱情;同性;陈凯歌;中国大陆;高分
1292722,泰坦尼克号,,1998,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥;凯特·温斯莱特;比利·赞恩;凯西·贝茨;弗兰西丝·费舍,剧情;爱情;灾难,美国;墨西哥,9.5,2450416,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.webp,1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了它完工后的首次商业航行，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。 罗丝厌倦了上流社会虚伪的生活，不愿嫁给卡尔，打算投海自尽，被杰克救起。很快，美丽活泼的罗丝与英俊开朗的杰克相爱，杰克带罗丝参加下等舱的舞会、为她画像，二人的感情逐渐升温。 1912年4月14日，星期天晚上，一个风平浪静的夜晚。泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验。,romance_drama,剧情;爱情;灾难;詹姆斯·卡梅隆;美国;高分
1292720,阿甘正传,,1994,罗伯特·泽米吉斯,汤姆·汉克斯;罗宾·怀特;加里·辛尼斯;麦凯尔泰·威廉逊;莎莉·菲尔德,剧情;爱情,美国,9.5,2391460,4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.webp,阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。 阿甘像普通孩子一样上学，并且认识了一生的朋友和至爱珍妮（罗宾·莱特·潘 饰），在珍妮 和妈妈的爱护下，阿甘凭着上帝赐予的“飞毛腿”开始了一生不停的奔跑。 阿甘成为橄榄球巨星、越战英雄、乒乓球外交使者、亿万富翁，但是，他始终忘不了珍妮，几次匆匆的相聚和离别，更是加深了阿甘的思念。 有一天，阿甘收到珍妮的信，他们终于又要见面……,romance_drama,剧情;爱情;罗伯特·泽米吉斯;美国;高分
1291561,千与千寻,,2019,宫崎骏,柊瑠美;入野自由;夏木真理;菅原文太;中村彰男,剧情;动画;奇幻,日本,9.4,2491103,5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.webp,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。 千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消 失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。 千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。 一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。 为了救小白，千寻又踏上了她的冒险之旅。,comedy_animation,剧情;动画;奇幻;宫崎骏;日本;高分
1292063,美丽人生,,2020,罗伯托·贝尼尼,罗伯托·贝尼尼;尼可莱塔·布拉斯基;乔治·坎塔里尼;朱斯蒂诺·杜拉诺;赛尔乔·比尼·布斯特里克,剧情;喜剧;爱情;战争,意大利,9.5,1457884,6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.webp,犹太青年圭多（罗伯托·贝尼尼）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。 然而好景不长，法西斯政权下，圭多和儿子被强行送往犹太人集中营。多拉虽没有犹太血统，毅然同行，与丈夫儿子分开关押在一个集中营里。聪明乐天的圭多哄骗儿子这只是一场游戏，奖品就是一辆大坦克，儿子快乐、天真的生活在纳粹的阴霾之中。尽管集中营的生活艰苦寂寞，圭多仍然带给他人很多快乐，他还趁机在纳粹的广播里问候妻子：“早安！公主！” 法西斯政权即将倾覆，纳粹的集中营很快就要接受最后的清理，圭多编给儿子的游戏该怎么结束？他们一家能否平安的度过这黑暗的年代呢？,romance_drama,剧情;喜剧;爱情;战争;罗伯托·贝尼尼;意大利;高分
1889243,星际穿越,,2014,克里斯托弗·诺兰,马修·麦康纳;安妮·海瑟薇;杰西卡·查斯坦;麦肯吉·弗依;卡西·阿弗莱克,剧情;科幻;冒险,美国;英国;加拿大,9.4,2130320,7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.webp,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes Bentley 饰）搭乘宇宙飞船前往目前已知的最有希望的三颗星球考察。 他们穿越遥远的星系银河，感受了一小时七年光阴的沧海桑田，窥见了未知星球和黑洞的壮伟与神秘。在浩瀚宇宙的绝望而孤独角落，总有一份超越了时空的笃定情怀将他们紧紧相连……,sci_fi_action,剧情;科幻;冒险;克里斯托弗·诺兰;美国;高分
1295644,这个杀手不太冷,,2024,吕克·贝松,让·雷诺;娜塔莉·波特曼;加里·奥德曼;丹尼·爱罗;彼得·阿佩尔,剧情;动作;犯罪,法国;美国,9.4,2515824,8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.webp,里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。 女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……,suspense_crime,剧情;动作;犯罪;吕克·贝松;法国;高分
3541415,盗梦空间,,2010,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥;约瑟夫·高登-莱维特;艾利奥特·佩吉;汤姆·哈迪;渡边谦,剧情;科幻;悬疑;冒险,美国;英国,9.4,2286321,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.webp,道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔（玛丽昂·歌迪亚 Marion Cotillard 饰）的处处破坏，实际情况远比预想危险得多……,sci_fi_action,剧情;科幻;悬疑;冒险;克里斯托弗·诺兰;美国;高分
1292064,楚门的世界,,1998,彼得·威尔,金·凯瑞;劳拉·琳妮;艾德·哈里斯;诺亚·艾默里奇;娜塔莎·麦克艾霍恩,剧情;科幻,美国,9.4,1974551,10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.webp,楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。 直到有一天，他忽然发觉自己似乎一直在被人跟踪，无论他走到哪里，干什么事情。这种感觉愈来愈强烈。楚门决定不惜一切代价逃离这个他生活了30多年的地方，去寻找他的初恋女友。 但他却发现自己怎样也逃不出去。真相其实很残忍。,sci_fi_action,剧情;科幻;彼得·威尔;美国;高分
